,n=,avg_Profit_Performance,avg_Utility_Performance,avg_Utility,avg_Optimal_Utility,avg_Blocking_Pairs,min_Profit_Performance,min_Utility_Performance,min_Blocking_Pairs,max_Profit_Performance,max_Utility_Performance,max_Blocking_Pairs,Alg
0,20,0.8030936754613803,0.0008562575928344886,327.997,0.267,63.454,0.6112920738327905,0.0,21,0.9471413160733548,0.0511627906976744,120,AlgD
1,20,0.5441242299046408,0.0007626984626953583,348.568,0.267,87.612,0.3286410395235517,0.0,36,0.7904710341093666,0.0349206349206349,148,AlgT
2,40,0.8479708901136365,1.2150668286755e-06,683.279,0.001,260.128,0.7192066805845512,0.0,126,0.938855500391952,0.0012150668286755,401,AlgD
3,40,0.5248147965675778,1.207729468599e-06,698.102,0.001,358.826,0.3813270390768424,0.0,225,0.671622326551904,0.001207729468599,554,AlgT
4,60,0.8765066889956893,0.0,1026.22,0.0,585.996,0.7805170347543229,0.0,355,0.946145905024088,0.0,829,AlgD
5,60,0.5148619999060711,0.0,1040.193,0.0,817.127,0.399897066392177,0.0,525,0.6348140495867769,0.0,1116,AlgT
6,80,0.8955146497349025,0.0,1365.523,0.0,1049.356,0.8380842321520288,0.0,635,0.9434348605067828,0.0,1517,AlgD
7,80,0.515106047428866,0.0,1391.887,0.0,1451.789,0.412800411258193,0.0,915,0.6279902776001023,0.0,1979,AlgT
8,100,0.9083851155673098,0.0,1717.979,0.0,1655.388,0.8543709150326797,0.0,1112,0.9579883471327814,0.0,2291,AlgD
9,100,0.5117368753531649,0.0,1738.766,0.0,2275.264,0.4094528378930175,0.0,1555,0.6089887640449438,0.0,3007,AlgT
